Timestamp,1. What is your current level of study?  ,2. I feel motivated to attend my classes regularly. ,"3. I study because I'm genuinely interested in the subject, not just to pass exams. ",4. I lose motivation when a course feels irrelevant to my future goals.  ,5. I feel more motivated when I get regular feedback on my progress.,6. I actively participate in class discussions or activities.,7. I use a consistent study routine (fixed times/days) rather than only studying before exams.,8.  Group work and peer interaction help me stay engaged with course material. ,9.  What is the single biggest thing that kills your motivation to study or attend class? ,"10 If you could change one thing about how your courses are taught or structured, what would it be?","11.  What kind of support (from teachers, peers, or the institution) would help you stay consistently engaged? ",12.  I follow through on study plans I set for myself. ,13.  When are you most likely to get distracted while studying? ,14.  Which factors would most improve your engagement in class? (Select all that apply) ,"15.  If you could design one feature for an online learning platform to help students stay motivated, what would it be? "
2026/07/23 3:22:14 am GMT+5,Undergraduate Year 1,Disagree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Neutral,"Lack of clear, immediate relevance to my goals or real life.","More interactive, discussion-based learning instead of one-way lectures.",,,,,
2026/07/23 11:26:52 am GMT+5,Undergraduate Year 3 or above,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Agree,It has no benefit or is irrelevant to our course.,I will add more field work exposure.,,,,,
2026/07/23 3:31:01 pm GMT+5,Undergraduate Year 2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Too much thoery no practical work ,More practical examples and projects,,,,,
2026/07/23 3:38:33 pm GMT+5,Undergraduate Year 1,Agree,Strongly disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Burnout,I would change the focus from memorization to practical application.,,,,,
2026/07/23 3:40:50 pm GMT+5,Graduate / Postgraduate,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Early morning classes,Integrate the use of AI to summaries them.,,,,,
2026/07/23 3:53:04 pm GMT+5,Undergraduate Year 3 or above,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,"Non engaging classes, or classes that just read off the slides rather than actual discussion ","I'd make them more organized and make discussion mandatory, classes are more fun and I like to attend to class more if I it's engaging ",,,,,
2026/07/23 4:34:08 pm GMT+5,Undergraduate Year 1,Disagree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Lack of clear relevance feeling like the material won't matter in the real world.,"More hands-on practice, less lecture heavy theory.",Clearer assignment expectations and more in-class interactive activities.,Agree,When the material feels boring or too hard,More interactive/hands-on activities;Real-world relevance of the material,"A ""real-world impact"" tracker showing how each lesson directly applies to actual careers or everyday problems."
2026/07/23 4:47:26 pm GMT+5,Undergraduate Year 3 or above,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,The teacher just reading off of slides,"More engagement, discussions , organized lectures, practical work and experience, practical semester projects","Any form of Engagement , discussion groups, an area that helps me learn and stay active",Disagree,Mid-way through (lose focus after a while),More interactive/hands-on activities;Smaller class sizes or discussion groups;Real-world relevance of the material;Recognition or incentives for participation,Games that help you learn
2026/07/23 5:20:45 pm GMT+5,Undergraduate Year 2,Disagree,Neutral,Agree,Agree,Agree,Strongly disagree,Agree,"Mobile ,laziness, reels ,sleeping .",It should be practical more than theory ,Mental and emotional support,Strongly disagree,Right when I start (hard to get going),More interactive/hands-on activities,It would be a dream of student written at the top of the screen that a student wants to be in every circumstance 
2026/07/23 5:25:38 pm GMT+5,Undergraduate Year 2,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Dil nai kr raha,Something practical and engaging ,Praise ,Disagree,When the material feels boring or too hard,Smaller class sizes or discussion groups,Just  crack a joke so no one feel bored in the lenghty long lectures 
2026/07/23 5:37:37 pm GMT+5,Graduate / Postgraduate,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,My phone ,50 percent attendance mandatory.,Kindness. ,Disagree,Mid-way through (lose focus after a while),Smaller class sizes or discussion groups,Learning material given to them in the most concise way possible.
2026/07/23 6:42:24 pm GMT+5,Undergraduate Year 2,Agree,Neutral,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Agree,morning classes and workload ,shifting the focus from static memorization,teachers providing constructive feedback and clear goals,Disagree,Right when I start (hard to get going),Smaller class sizes or discussion groups;Recognition or incentives for participation,Accountability & Study Group
2026/07/23 6:57:11 pm GMT+5,Undergraduate Year 3 or above,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,boring study material,Visual Thinking Strategies,structured institutional flexibility,Neutral,Mid-way through (lose focus after a while),Regular feedback on performance;Smaller class sizes or discussion groups;Flexible deadlines,Micro-Goal Tracking & Streak Building
2026/07/23 7:43:08 pm GMT+5,Undergraduate Year 1,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,"Bad feedback from teachers
",That focus should be on understanding and not grads,If I can't understand something they should help,Neutral,When the material feels boring or too hard,Regular feedback on performance,Good feedback and actually helping to understand the topics rather then just helping to pass the exam
2026/07/24 12:41:19 pm GMT+5,Undergraduate Year 3 or above,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,When someone degrades me or when I'm trying so hard but still failing ,I don't know ,That I'm doing good and if they're kindly helping instead of making me feel small,Disagree,Mid-way through (lose focus after a while),More interactive/hands-on activities;Real-world relevance of the material;Flexible deadlines,Appreciation and rewards
2026/07/24 2:16:24 pm GMT+5,Undergraduate Year 1,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Teachers not knowing their subjects,Lack of practical demonstration ,Feedback and hands on practice,Disagree,Mid-way through (lose focus after a while),More interactive/hands-on activities,Not sure
